GO ID	GO term	level	ontology	background count	subset count	p value
GO:0009074	aromatic amino acid family catabolic pro...	9	BP	8	3	0.02858
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvat...	10	BP	8	3	0.02858
GO:0031936	negative regulation of chromatin silenci...	16	BP	8	3	0.02858
GO:0016853	isomerase activity	3	MF	179	27	0.03130
GO:0005507	copper ion binding	7	MF	20	5	0.03636
GO:0051233	spindle midzone	9	CC	4	2	0.0364
GO:0002189	ribose phosphate diphosphokinase complex	6	CC	4	2	0.0364
GO:0005199	structural constituent of cell wall	3	MF	14	4	0.03815
GO:0006749	glutathione metabolic process	7	BP	15	4	0.03938
GO:0006558	L-phenylalanine metabolic process	10	BP	9	3	0.04006
GO:0042908	xenobiotic transport	5	BP	9	3	0.04006
GO:0005509	calcium ion binding	6	MF	105	16	0.04044
GO:0016705	oxidoreductase activity, acting on paire...	4	MF	86	15	0.04103
GO:0004497	monooxygenase activity	4	MF	72	12	0.04166
GO:0045717	negative regulation of fatty acid biosyn...	11	BP	4	2	0.04268
GO:0007163	establishment or maintenance of cell pol...	3	BP	4	2	0.04268
GO:0019632	shikimate metabolic process	8	BP	4	2	0.04268
GO:0045338	farnesyl diphosphate metabolic process	8	BP	4	2	0.04268
GO:0006015	5-phosphoribose 1-diphosphate biosynthet...	8	BP	4	2	0.04268
GO:1905786	positive regulation of anaphase-promotin...	14	BP	4	2	0.04268
GO:0005771	multivesicular body	10	CC	10	3	0.0431
GO:0042910	xenobiotic transmembrane transporter act...	4	MF	9	3	0.04721
GO:0016864	intramolecular oxidoreductase activity, ...	5	MF	9	3	0.04721
GO:0004749	ribose phosphate diphosphokinase activit...	6	MF	4	2	0.04810
GO:0080048	GDP-D-glucose phosphorylase activity	7	MF	4	2	0.04810
